ID,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
674,26,139,35,162,435,422,670,880,333,342,524,39,190,146,78,39,67,294,85,73,11,24,101,26,70,28,13,18,15,2,113,29,153,55,22,37,13,23,2,158,67,12,0
675,0,6,1,1,2,7,4,9,3,2,6,14,18,12,2,3,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,
676,2,22,8,70,96,78,16,9,0,17,13,8,24,23,35,13,55,0,16,21,5,10,7,5,10,0,8,33,7,24,23,4,8,13,25,16,9,22,12,7,4,16,1
677,2,1,17,13,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,14,11,4,0
678,11,6,13,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,0,1,3,50,69,128,204,103,41,49,21,110,48,60,64,12,53,37,55,48,10,21,90,59,41,74,41,3,52,110,34,14,1,20,14,10,5,19,0,10,1,4,0
680,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,169,172,252,264,318,479,515,644,341,1024,446,219,218,268,376,386,164,,,,,,,,,,,,,,,,,,,,,,,,,,
682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,8,6,0,10,2,0,1,9,0,10
683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,8,28,18,23,26,43,13,28,36,57,25
684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,20
685,,,0,19,43,6,16,0,26,8,0,0,64,9,0,31,4,0,8,2,0,0,0,0,2,6,7,66,6,1,0,0,0,0,22,8,11,2,14,0,6,14,0
686,0,,,,,,,,,,,,,,,,,,,,,,,,,,13,8,22,16,14,0,0,0,11,2,0,,,,,,
687,1,14,61,15,105,107,40,80,187,22,88,50,29,72,11,174,124,31,46,61,47,15,15,43,2,0,28,46,60,56,49,59,110,87,33,128,74,54,5,182,16,6,0
688,0,4,1,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,0
689,7,11,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,0,0,1,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,39,41,8,9,61,33,0
691,15,5,0,14,18,26,0,,34,54,13,3,15,30,32,18,3,10,28,9,17,4,10,11,5,1,7,18,14,43,22,13,33,32,2,12,11,17,4,14,24,8,1
692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,0
693,0,0,0,0,0,0,0,0,0,0,0,0,0,43,72,30,97,45,21,83,24,106,19,27,62,68,59,60,55,109,36,80,80,138,84,59,34,103,122,71,76,238,32
694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,24,4,3
695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,91,61,43,50,11,0
696,,,,,,,,,,,,,,,,,,,,,,,,,,,14,41,2,5,0,0,0,0,0,11,0,0,0,0,0,14,0
697,0,0,8,0,1,13,9,11,21,11,17,0,0,0,13,11,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,
698,,,,,,,,,,,,,,,,,,,,,,,,0,66,21,27,16,0,9,6,24,14,17,,,,,,,,,
699,1,0,2,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,21,16,0,7,15,17,37,26,3,2
700,14,13,113,99,129,70,247,76,140,165,8,29,89,67,99,48,44,50,75,157,48,140,171,472,449,397,286,435,305,185,461,352,72,180,155,126,119,228,150,187,95,100,2
701,11,23,33,59,83,25,22,65,133,128,33,55,15,3,1,26,9,53,6,0,,,,,,,,,,,,,,,,,,,,,,,
702,0,10,12,,,,,22,38,157,34,27,51,18,71,8,41,53,62,53,90,77,169,81,47,28,30,22,27,26,23,36,59,48,191,26,69,33,0,12,5,9,1
703,1,9,7,3,12,33,2,,,,,,,,,,,,,,,,,5,92,40,16,34,11,29,15,11,5,8,4,9,13,7,10,20,11,6,0
704,,,,,47,44,42,46,95,10,23,20,8,3,13,0,21,0,0,15,26,9,3,8,0,32,8,3,0,0,5,0,0,24,27,11,9,0,0,7,8,3,0
705,2,22,6,7,21,39,23,17,49,54,44,51,27,27,22,34,13,,,,,,,,,,,,,,,,,,,,,,,,,,
706,2,10,17,5,21,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,0,7,24,1,9,0,0,46,1,28,97,134,89,154,61,57,39,27,9,18,66,49,31,19,35,63,33,41,24,42,38,77,0,29,11,7,15,10,13,3,12,18,14
708,3,5,6,15,25,11,7,45,16,45,0,4,0,9,55,2,7,6,14,5,4,5,0,18,11,19,10,22,15,5,3,16,9,11,18,13,8,4,21,16,7,17,1
709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,5,8,3,3
710,,5,20,23,61,33,60,105,92,170,135,143,53,111,133,11,57,40,21,57,43,67,5,46,47,111,141,80,59,84,63,66,44,90,69,62,70,20,1,10,3,8,0
711,0,5,15,2,36,83,54,53,1,63,16,16,8,18,9,16,26,14,2,7,1,2,0,15,4,16,13,29,7,12,23,11,1,0,3,0,5,0,0,7,4,9,0
712,73,3,22,13,189,39,,,,,,,,,,,,,,,,,,,,,,,,,,63,34,47,9,2,2,16,49,29,12,7,21
713,1,0,1,0,0,0,,,,,,,,5,0,0,2,0,0,0,0,2,0,0,2,0,1,0,2,2,0,1,1,2,0,1,4,2,0,2,0,2,0
714,6,11,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,56,41,40,20,36,5,45,11,3,10,11,6,0
715,,,,,,,,,27,223,101,115,133,67,209,375,316,94,372,111,274,416,538,256,1102,930,602,630,,,,,,,,,,,,,,,
716,5,5,8,32,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,18,0,10,9,0,0,0,0,0
717,,,,,25,219,101,23,16,66,24,5,20,7,9,51,47,39,47,28,96,34,7,27,42,35,35,55,67,52,75,86,67,27,49,10,2,26,56,26,88,28,0
718,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,30,2,0
719,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,0,1,0,0,5,15,1,6,9,4,1,0,0,0,1,2,3,0,1,0,1,80,37,10,63,23,39,51,24,34,11,24,4,14,22,2,15,4,0,16,21,6,2
721,0,0,0,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,,,,,,,,,,,,,,,0,22,45,25,27,10,15,0,,,,,,,,,,,,,,,,,,,,,
723,10,16,33,48,47,65,49,50,33,73,69,41,20,91,20,30,51,39,5,32,5,10,39,5,31,34,66,35,30,36,36,55,13,12,20,61,12,1,17,5,14,8,3
724,3,1,7,18,13,14,9,2,10,14,32,11,4,5,33,8,38,9,12,3,25,3,5,1,6,5,4,28,7,8,3,3,4,5,7,0,10,2,2,16,13,3,5
725,11,9,5,5,18,1,15,1,0,0,0,0,260,19,8,4,0,8,2,0,,,,,,,,,,,,,,,,,,,,,,,
726,39,14,101,48,55,19,55,56,19,137,75,37,34,9,32,21,68,50,7,5,8,5,0,,,,,,,,,,,,,,,,,,,,
727,0,12,6,0,0,0,37,1,3,16,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,6,1,3,,,,,17,37,36,13,0,0,8,49,8,12,12,17,15,14,0,15,0,3,6,21,5,20,16,8,36,11,0,0,4,6,10,2,2,4,2,0
729,0,0,0,0,0,0,0,0,0,0,0,4,6,1,15,11,5,0,25,23,16,0,4,0,0,7,7,12,6,15,19,14,3,6,10,0,1,0,0,0,1,0,0
730,0,5,39,55,16,5,65,150,88,0,14,66,10,38,19,6,0,9,22,0,4,14,18,7,0,3,15,9,18,20,9,0,0,0,0,0,0,4,10,1,4,6,0
731,,,4,2,1,0,3,0,0,0,0,8,0,0,0,1,0,0,0,0,14,2,0,0,0,16,0,1,0,2,0,0,0,0,0,0,0,0,0,0,8,23,0
732,135,111,68,224,105,144,234,314,211,322,229,145,270,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,4,4,4,2,8,7,0,21,8,3,4,2,7,6,3,4,12,11,5,16,3,10,0,8,8,0,0,13,16,7,0,1,20,1,8,6,2,2,3,21,2,4,0
734,0,0,0,0,0,0,0,8,0,49,0,48,27,0,34,0,0,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,
735,2,7,6,7,23,17,19,16,32,44,7,21,17,6,34,12,37,106,51,39,33,30,34,7,56,89,72,6,13,5,48,5,2,24,13,13,16,2,,,,,
736,21,23,15,119,48,42,19,12,3,0,43,25,24,5,8,7,0,32,37,28,33,3,16,0,6,11,7,15,12,18,17,14,60,12,2,0,9,0,1,2,1,9,0
737,,,,0,0,35,32,128,71,42,4,15,0,0,0,3,0,0,0,66,0,0,3,26,0,0,0,0,0,,,,,,,,,,,,,,
738,,,,,,,,,,,,,,,,,0,7,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
739,,,0,28,19,0,33,53,35,80,39,13,15,10,23,35,41,11,30,24,15,11,28,12,21,28,33,52,20,14,26,29,25,28,0,20,27,27,26,8,5,1,0
740,0,0,2,14,13,46,40,35,14,17,7,0,0,34,24,2,5,12,16,5,2,2,0,0,0,0,3,1,0,0,7,2,0,24,4,6,1,6,16,15,2,3,0
741,8,23,6,18,116,37,11,,,,,,,,,,,56,72,162,84,43,28,68,94,148,146,127,90,149,127,78,180,142,88,70,123,191,95,65,442,424,48
742,,,,,,,0,27,14,9,0,3,0,0,5,0,35,16,8,20,24,55,0,0,0,0,0,,,,,,,,,,,,,,,,
743,2,4,6,35,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,8
744,,0,12,11,33,14,28,0,0,,,,,,,,,,,,,,,,,,,,4,4,14,12,4,3,6,3,4,3,3,7,12,4,4
745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10,0,0,0
746,33,4,2,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,24,22,11,12,0,85,34,2,45,15,58,8,3,121,32,6,14,56,98,22,23,30,62,11,18,10,44,5,3,20,20,0,10,7,0,0,22,8,0,0,0,0,0
748,,,,,,,,,,,0,0,17,54,12,0,0,47,0,16,2,0,2,0,1,4,0,4,0,21,2,5,2,6,0,0,0,0,0,0,2,,
749,,,,,,,,,,0,59,0,3,0,1,8,38,6,0,0,0,0,0,,,,,,,,,,,,,,32,21,3,22,25,10,0
750,,,,,0,13,45,54,45,42,,,,,,,51,26,34,57,49,69,47,152,133,60,69,66,68,34,71,36,63,50,62,32,168,46,25,20,46,51,54
751,,,,0,48,4,31,3,21,0,33,9,30,9,4,15,3,10,9,30,12,21,24,3,24,1,4,35,12,14,23,25,18,21,4,4,5,0,47,1,5,6,0
752,16,28,2,12,0,10,2,0,10,2,0,0,0,0,0,0,0,3,2,0,0,0,0,3,7,4,16,0,0,0,1,2,0,1,1,0,0,0,0,0,6,8,0
753,,,,,,,,,,,,,,,,,,,,,,,,18,10,3,5,6,3,3,2,9,1,2,3,3,2,1,2,1,11,4,0
754,,,,,,0,2,35,45,13,0,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,2,4,2,0,7,15,7,14,25,20,5,4,1,5,32,55,41,24,3,3,14,0,20,10,6,10,18,0,0,4,22,3,3,29,5,17,6,13,0,9,2,5,0
756,17,36,3,9,34,24,0,5,156,0,64,0,0,1,2,0,16,0,0,27,0,0,0,0,16,0,0,2,0,5,1,7,0,0,0,1,0,0,0,0,7,1,0
757,0,6,4,0,0,5,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,1,10,4,50,103,80,72,54,31,122,57,7,21,7,21,32,145,60,46,48,49,53,28,21,37,17,17,38,11,9,92,22,24,14,12,22,20,86,37,10,15,6,1
759,1,1,1,0,8,4,1,0,1,0,0,0,2,1,0,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,
760,,,,,,,32,113,54,25,56,20,36,27,10,23,6,23,9,4,17,2,9,8,9,27,5,12,6,9,6,7,38,5,3,28,15,50,22,46,11,76,14
761,,,,,,,,0,12,32,0,14,18,64,60,38,66,102,39,14,10,8,4,19,14,0,53,0,25,38,12,4,22,77,85,3,41,66,19,13,2,8,0
762,10,43,14,23,67,47,40,36,20,54,39,16,22,98,56,54,111,68,36,46,45,53,53,44,50,63,63,39,77,102,132,174,72,84,126,49,62,117,121,103,76,146,6
763,2,17,19,1,44,3,25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0,21,8,17,0,18,3,20,19,17,0
764,,,,,,,,,,,,0,3,0,12,21,7,2,0,1,3,8,0,0,0,,,,,,,,,,,,,,0,2,1,0,0
765,0,7,2,0,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,1,5,17,2,13,23,3,13,2,,,,,,,,,,4,1,0,0,,,,,,,,0,30,5,0,1,1,1,5,1,0,2,0,1,0
767,,,,,40,13,57,16,23,14,9,10,21,9,12,20,40,27,13,20,21,29,17,9,24,16,10,18,25,56,34,25,26,60,27,27,17,24,9,14,5,6,0
768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,31,24,3
769,0,3,7,0,3,17,18,50,14,5,8,15,2,0,0,8,0,13,4,0,15,0,,,,,,,,,,,,,,,,,,,,,
770,1,12,8,12,68,26,30,32,66,76,62,22,44,16,25,15,21,48,23,14,22,33,26,10,13,20,32,30,17,23,28,34,28,37,24,33,29,31,9,31,32,31,0
771,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31,7,6,23,5,35,6,10,83,18,9,6,23,18,65,13,27,11,6,35,17,14,13,20,15,33
773,6,14,1,3,25,142,7,,,,,,,,,12,12,2,0,5,0,2,2,6,0,2,3,0,2,1,12,41,11,1,0,6,5,0,6,33,14,5,0
774,0,4,5,23,51,7,22,45,70,32,3,6,40,6,19,7,46,16,28,11,6,18,36,7,30,0,0,2,10,10,16,24,11,15,7,1,0,14,1,16,19,6,0
775,0,0,0,55,4,2,4,0,0,0,30,0,0,0,0,0,0,14,6,6,0,0,0,3,0,2,15,0,0,0,9,,,,,,,,,,,,
776,3,0,2,1,9,0,3,,,,,,,,23,2,0,14,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
777,0,0,3,26,20,31,131,56,83,55,38,37,19,43,81,65,49,38,136,80,10,34,66,100,57,50,40,9,81,40,49,31,35,64,16,17,99,92,95,134,85,125,0
778,0,0,0,0,0,5,79,44,218,76,42,52,19,0,45,0,11,3,3,2,1,15,0,28,40,55,0,0,0,0,0,0,0,21,11,0,0,0,0,0,0,0,0
779,0,20,43,31,26,59,55,54,56,19,72,1,38,2,36,26,72,79,48,15,8,6,11,61,20,18,32,22,15,19,26,26,20,22,22,30,5,12,15,15,41,9,1
780,1,3,4,2,7,65,69,7,5,39,13,0,0,15,4,5,1,13,0,12,33,4,57,70,45,25,21,5,56,48,60,45,65,16,2,42,32,21,21,18,24,53,5
781,3,8,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,4,1,2,1,8,6,9,0,4,15,22,7,6,0,0,10,2,0,7,31,35,23,33,61,37,44,74,138,88,103,67,87,85,45,29,13,16,13,1,0,4,7,1
783,3,0,1,1,5,12,9,2,0,8,0,0,0,8,13,5,6,4,3,10,1,4,2,0,1,3,1,3,13,3,0,2,3,4,0,1,8,10,0,4,3,6,4
784,4,15,1,6,9,3,0,4,15,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,8,11,6,8,25,11,14,52,101,73,72,9,10,20,26,24,16,18,5,45,6,4,1,0,1,2,7,2,16,18,35,4,8,7,9,5,3,1,7,5,0,11,2
786,0,1,0,0,6,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,6,9,1,2,4,3,45,7,62,0,8,0,22,38,23,4,0,3,15,14,14,22,8,12,11,54,3,46,30,4,5,23,14,6,1,0,15,3,6,1,1,18,0
788,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,9,0,0,1,5,0,0,0,5,3,0,0,0,0,0
789,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,3,14,49,82,287,23,18,137,268,239,207,35,15,49,15,65,103,37,51,70,86,48,33,32,15,56,88,51,55,15,28,43,45,30,41,9,50,14,23,35,27,23,7
791,,,0,40,22,23,14,25,16,34,101,13,24,18,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,5,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,2,2,0,15,11,3,0,16,0,33,14,8,9,7,15,18,9,41,23,17,16,63,29,6,74,80,63,31,11,48,22,150,111,129,27,11,6,55,14,44,36,38,5
794,7,0,3,3,38,11,20,9,41,27,45,34,84,30,31,38,41,89,68,29,3,65,39,21,32,49,4,35,15,11,7,63,27,18,80,169,259,59,92,98,19,14,19
795,8,21,14,2,3,0,0,52,11,16,61,22,9,14,73,32,57,20,20,35,8,31,11,10,60,72,21,45,43,42,23,44,40,26,34,25,4,15,14,6,3,1,1
796,0,0,31,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,0,0,9,0,0,13,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,72,116,4,0,8
798,,,,,,,,,,,,,,,60,67,5,28,10,16,9,11,11,8,,,,,,,,,,,,,,,,,,,
799,33,12,45,141,120,78,9,2,15,6,3,12,18,17,2,,,,41,7,0,2,37,23,12,0,9,10,0,4,6,8,5,0,0,14,9,8,6,19,4,3,0
800,,,,,,,,,,,,,0,117,2,0,0,0,2,1,31,118,0,0,0,,,,,,,,,,,0,0,8,0,0,11,2,0
801,,,2,2,3,46,16,41,15,55,6,9,13,11,20,8,9,41,50,22,38,17,29,20,9,34,38,31,16,35,36,23,30,36,8,46,32,49,24,32,10,14,19
802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,0
803,21,29,10,14,10,35,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,15,6,6,21,6,6,6,6,0
804,22,21,10,11,32,39,41,134,89,72,215,28,46,55,48,87,138,45,21,12,16,17,13,15,41,89,25,31,90,34,23,36,64,29,64,2,17,31,16,15,12,17,0
805,,,,,,,,,,,,,,,0,36,3,22,0,5,0,4,7,0,0,5,4,14,35,0,1,5,0,5,10,12,2,0,0,1,22,0,0
806,,,,,,,0,12,85,127,4,46,100,26,19,19,7,35,32,38,65,31,30,72,44,0,3,41,96,29,33,26,0,0,0,,,,,,,,
807,5,38,80,77,30,34,90,145,68,224,90,34,217,12,73,85,61,159,97,57,77,49,12,53,82,113,90,84,83,108,80,113,59,112,51,0,0,30,51,25,14,25,3
808,,,,,,,,,0,18,25,3,30,17,1,24,4,3,0,1,79,5,6,0,5,5,5,33,8,18,1,23,44,19,8,4,29,14,62,34,3,6,0
809,162,107,220,314,408,305,504,646,1872,2462,4211,1115,2697,3388,4724,4390,1505,1445,2002,777,836,446,195,238,382,158,102,900,208,49,485,276,311,231,296,144,273,363,321,142,128,169,43
810,15,52,10,10,57,32,75,81,202,272,74,97,165,66,167,101,78,113,20,183,15,52,25,48,98,103,59,42,73,40,56,67,89,44,27,19,32,34,94,54,18,35,4
811,6,7,7,6,59,15,25,23,,0,19,3,21,8,12,33,8,6,28,13,16,9,0,0,,,,,,,,,,,,,,0,13,7,0,1,0
812,6,1,0,0,12,60,20,34,79,59,52,3,2,48,16,17,16,10,1,4,0,19,6,6,18,7,31,4,2,4,13,12,1,2,3,1,5,7,2,9,9,4,3
813,,,,0,21,7,12,20,0,55,0,2,9,0,0,0,2,4,6,27,5,21,16,7,4,0,4,28,4,11,9,6,0,0,0,3,10,0,0,0,0,0,0
814,,,,,,,,,,,,,,,,,,,,,0,28,6,12,0,25,7,8,2,15,11,51,50,27,14,25,10,49,14,27,35,30,2
815,,,,,,,,,,,,,,,,,,,,,,,,5,5,30,23,6,0,8,0,63,27,44,11,23,13,5,11,26,15,23,3
816,1,2,13,16,25,28,28,18,49,142,191,1,39,18,87,7,33,31,31,32,8,9,10,3,55,9,12,33,10,28,29,2,,,,,,,,,,,
817,0,0,3,1,2,10,8,,,,,,,,,,,,,,,,,,,,,,,15,7,1,9,11,15,0,0,4,10,0,7,4,0
818,0,1,1,7,31,10,23,16,41,61,24,1,4,18,13,25,17,4,15,6,11,12,5,6,32,24,18,5,14,4,14,14,21,5,12,10,0,9,12,5,10,28,0
819,1,0,,,,,,,,,,,,,,,56,72,57,42,26,20,42,17,3,0,,,,,,,,,,,,,,,,,
820,47,52,91,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,,,,,,,,,,,,,0,22,13,0,45,0,5,0,0,1,0,0,21,1,1,0,0,0,0,0,0,,,,,,,,,,
822,1,1,13,6,21,10,0,1,,,,,,,,,,,,,,,,,,8,2,13,1,24,10,4,12,5,50,0,0,14,2,17,12,6,0
823,0,0,0,0,12,11,0,11,10,17,8,34,4,3,7,45,3,2,3,16,10,2,1,8,8,1,1,1,6,1,1,15,1,1,5,18,2,0,2,0,2,0,0
824,2,16,58,73,93,191,107,138,157,208,105,4,86,59,66,120,145,86,26,16,25,26,24,44,40,51,20,34,23,24,25,36,19,35,4,14,8,5,6,6,2,7,0
825,1,18,24,61,41,13,26,31,14,50,27,3,12,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,,0,0,14,17,7,50,8,3,17,7,0,26,3,17,20,6,7,2,30,28,6,34,27,3,18,12,3,4,0,12,22,9,47,18,14,24,14,0,0,13,29,11
827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,140,94,20,35,10,10,37,1
828,31,11,42,15,47,131,88,46,117,50,8,6,17,20,22,2,137,19,43,84,5,14,57,35,20,11,0,0,12,0,0,,,,,,,,,,,,
829,,,,,,,,,,,0,61,43,56,64,11,25,60,52,72,57,17,52,27,84,113,81,41,105,32,86,114,42,144,299,145,58,162,36,17,36,21,0
830,,0,68,26,41,65,48,47,15,2,44,1,0,0,21,27,0,0,6,21,5,16,0,0,4,6,10,34,26,0,0,0,,,,,,,,,,,
831,14,54,652,41,155,681,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,3,13,15,17,12,87,21,33,23,35,62,23,51,50,39,7,13,91,18,9,29,22,7,7,14,15,10,22,23,36,32,11,24,22,74,51,26,71,41,23,29,28,3
834,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,4,0,0,6,0,13,0,6,0,0,1
835,8,1,2,0,3,8,48,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,61,64,69,96,251,237,284,308,433,530,297,231,151,239,391,245,330,207,213,163,167,203,156,183,284,184,212,267,248,304,225,383,367,450,265,203,252,378,202,221,273,289,28
837,0,45,27,0,6,101,17,25,47,26,87,16,10,32,30,0,7,2,2,11,0,,,,,,,,,,,,,,,,,,,,,,
838,,,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,,,,,,0,6,3,2,0,1,0,5,8,1,0,0,0,14,5,3,3,0,0,0,0,,,,,,,,,,,,,,,,,
840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,21,7,3,0,2,36,2,3,55,6,1
841,11,10,22,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,2,6,0,13,0,14,13,44,17,19,6,0,0,5,5,20,18,14,7,26,14,5,5,3,14,8,7,8,8,23,14,4,2,4,5,3,3,10,0,4,0,7,0
843,18,52,13,42,79,39,71,29,4,66,15,11,8,22,10,0,0,,,,,,,,,,,,,,13,6,21,7,7,0,3,3,0,8,0,0,0
844,,,,,,,,,,,,,,,,,,,,34,2,10,12,5,21,11,7,8,0,7,2,7,0,11,0,19,2,0,1,0,2,0,0
845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,15,11,37,93,28,57,43,16,7
846,0,4,3,0,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,0,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,23,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,4,13,13,225,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,4,0
850,,0,12,25,12,10,20,17,26,15,26,6,0,11,,,,,,,,,7,20,11,18,79,45,6,10,66,13,28,5,4,0,4,18,3,0,37,16,2
851,0,0,6,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,6,1,21,0
852,26,15,100,0,,,,,43,145,149,38,57,14,45,36,64,35,18,53,23,5,15,9,20,48,8,65,23,63,42,29,209,35,3,15,40,32,32,24,16,32,2
853,1,7,8,21,22,0,0,0,7,87,0,4,6,24,1,25,0,0,5,9,8,0,5,24,0,2,4,6,0,2,1,0,0,6,4,0,0,6,0,1,0,10,0
854,1,3,14,9,13,29,8,32,18,14,23,27,31,17,5,21,15,8,13,5,25,36,18,16,5,8,15,13,4,5,14,7,7,8,4,18,8,5,11,4,5,1,0
855,13,50,75,29,69,26,30,53,14,62,31,20,9,15,3,6,18,12,11,26,2,51,35,22,53,36,33,0,29,10,29,21,37,16,25,2,94,16,45,24,8,16,1
856,,,,,,,,5,176,89,43,15,14,8,87,9,23,14,11,24,56,37,9,11,25,39,50,16,5,16,10,49,27,1,14,19,11,8,0,2,6,40,0
857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,10,2,15,11,32,6,1,0,0
858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,4,26,28,18,10,24,28,3
859,56,39,61,46,186,310,71,94,,,,,,,,,,,,,,,,,,,,,,,,,,,0,66,11,23,25,27,67,35,2
860,20,53,14,36,187,331,343,380,280,410,383,128,194,250,254,221,316,547,385,344,446,229,489,403,353,263,845,389,334,257,289,357,279,374,302,316,408,282,214,334,272,302,15
861,6,0,9,9,0,0,11,13,0,92,135,36,55,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,,,,,,,8,18,5,7,1,1,13,1,10,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,10,4,2,5,1,1,1
863,14,3,23,23,22,7,18,44,11,,,,,,,,,,,,,,,,,,27,1,0,0,1,53,20,0,0,0,13,0,10,23,6,2,0
864,7,11,,,,,,,,,,,,,,,,,,,83,80,17,17,8,28,21,7,29,19,22,9,20,19,22,25,26,19,21,18,42,20,0
865,1,3,13,54,0,,,,,,,,,,,,,,,,,60,7,5,23,5,0,21,3,12,15,9,7,11,10,6,17,9,1,24,22,58,0
866,20,8,46,126,77,154,149,118,99,121,190,57,192,180,82,272,139,130,137,163,264,193,126,203,216,123,92,90,129,103,22,30,54,99,47,31,30,29,3,21,22,44,5
867,0,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,0,0,8,4,0,27,0
